filename,url
Love Death and Robots s01e01 Sonnies Edge.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Love%20Death%20and%20Robots%20s01e01%20Sonnies%20Edge.png
Cloud Atlas.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Cloud%20Atlas.png
The Matrix 1.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/The%20Matrix%201.png
Love Death and Robots s01e17 Alternate Histories.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Love%20Death%20and%20Robots%20s01e17%20Alternate%20Histories.png
PSY - Gangnam Style (Music video).png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/PSY%20-%20Gangnam%20Style%20(Music%20video).png
Russ Chimes - Midnight Club (Complete Trilogy) (Music video).png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Russ%20Chimes%20-%20Midnight%20Club%20(Complete%20Trilogy)%20(Music%20video).png
Deadpool 2.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Deadpool%202.png
The Lord of the Rings 2 - The Two Towers (Extended Version).png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/The%20Lord%20of%20the%20Rings%202%20-%20The%20Two%20Towers%20(Extended%20Version).png
Love Death and Robots s01e09 The Dump.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Love%20Death%20and%20Robots%20s01e09%20The%20Dump.png
Pan's Labyrinth.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Pan's%20Labyrinth.png
Love Death and Robots s01e13 Lucky 13.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Love%20Death%20and%20Robots%20s01e13%20Lucky%2013.png
Love Death and Robots s01e07 Beyond the Aquila Rift.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Love%20Death%20and%20Robots%20s01e07%20Beyond%20the%20Aquila%20Rift.png
The Curious Case of Benjamin Button.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/The%20Curious%20Case%20of%20Benjamin%20Button.png
Love Death and Robots s01e14 Zima Blue.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Love%20Death%20and%20Robots%20s01e14%20Zima%20Blue.png
The Spirit.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/The%20Spirit.png
DYE - Fantasy (Music video).png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/DYE%20-%20Fantasy%20(Music%20video).png
iamamwhoami - y (Music video).png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/iamamwhoami%20-%20y%20(Music%20video).png
La Cité de la Peur.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/La%20Cité%20de%20la%20Peur.png
Unbreakable.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Unbreakable.png
Austra - The Beat And The Pulse (Music video).png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Austra%20-%20The%20Beat%20And%20The%20Pulse%20(Music%20video).png
Cinnamon Chasers - Luv Deluxe (Music video).png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Cinnamon%20Chasers%20-%20Luv%20Deluxe%20(Music%20video).png
The Princess Bride.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/The%20Princess%20Bride.png
Love Death and Robots s01e04 Suits.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Love%20Death%20and%20Robots%20s01e04%20Suits.png
Love Death and Robots s01e08 Good Hunting.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Love%20Death%20and%20Robots%20s01e08%20Good%20Hunting.png
Love Death and Robots s01e02 Three Robots.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Love%20Death%20and%20Robots%20s01e02%20Three%20Robots.png
Annihilation.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Annihilation.png
Goliyon Ki Raasleela Ram-Leela.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Goliyon%20Ki%20Raasleela%20Ram-Leela.png
Tucker & Dale vs. Evil.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Tucker%20&%20Dale%20vs.%20Evil.png
Paprika.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Paprika.png
Paths of Hate (short).png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Paths%20of%20Hate%20(short).png
God Bless America.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/God%20Bless%20America.png
Inception.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Inception.png
The Matrix 2 - Reloaded.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/The%20Matrix%202%20-%20Reloaded.png
Blade Runner 2049.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Blade%20Runner%202049.png
The Departed.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/The%20Departed.png
Hanna.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/Hanna.png
My Neighbor Totoro.png,https://huggingface.co/datasets/Abhzzz/movi_bar/resolve/main/movie_barcodes/My%20Neighbor%20Totoro.png
